has_day;has_night;day_description;night_description;name;address;title;type;litraturer;night_character;day_year_built;night_book;night_year_wrote;day_architect;img_url;night_quote;y;x
;1;;Один из символов Петербурга, воспеваемый Пушкиным во вступлении. Олицетворяет стройность и «строгий вид» города, созданного Петром.;Адмиралтейская игла;Адмиралтейский проезд, 1;;Ориентир;Пушкин А. С.;;;"""Медный всадник""";1837;;;"«...и светла / Адмиралтейская игла...» 
«Люблю тебя, Петра творенье, / Люблю твой строгий, стройный вид».";59.937464;30.308467
1;;"Богословское кладбище, получившее свое название от располагавшейся здесь церкви Иоанна Богослова, было основано на нынешнем месте в 1841 году. В годы Великой Отечественной войны оно стало одним из мест массового захоронения жителей блокадного Ленинграда. 
Для литературной карты города это важнейший некрополь XX века. Здесь покоится целая плеяда выдающихся советских и ленинградских писателей. Именно Богословское кладбище стало местом упокоения знаменитых создателей детской литературы и писателей-натуралистов — Виталия Бианки и Евгения Чарушина. Здесь же находится могила великого сказочника и драматурга Евгения Шварца (автора «Обыкновенного чуда» и «Дракона»), а также известных прозаиков и поэтов Юрия Германа, Александра Прокофьева и Виссариона Саянова.";;Богословское кладбище;проспект Мечникова, 31А;;Захоронение;Бианки В. В., Герман Ю. П., Прокофьев А. А., Саянов В. М., Чарушин Е. И., Шварц Е. Л.;;;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Въезд_на_Богословку.jpg/1280px-Въезд_на_Богословку.jpg;;59.989558;30.394520
;1;;Отправная точка романа. Место, где в поезде, прибывающем из Швейцарии, впервые встречаются три ключевых героя произведения — князь Лев Мышкин, Парфен Рогожин и чиновник Лебедев.;Варшавский вокзал;набережная Обводного канала, 118С;;Место действия;Достоевский Ф. М.;Лев Мышкин, Парфен Рогожин, Лукьян Лебедев;;"""Идиот""";1868;;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Varshavskym_old.jpg/1280px-Varshavskym_old.jpg;"«В конце ноября, в оттепель, часов в девять утра, поезд Петербургско-Варшавской железной дороги на всех парах подходил к Петербургу. Было так сыро и туманно, что насилу рассвело...»
«Действительно, въезжали в воксал... Шумная ватага удалилась по направлению к Вознесенскому проспекту. Князю надо было повернуть к Литейной»";59.908105;30.307361
;1;;За время действия романа герой не раз предавался здесь размышлениям. На Вознесенском мосту на его глазах в канал Грибоедова бросилась мещанка Афросиньюшка, а Катерина Мармеладова заставляла своих детей петь и танцевать ради милостыни.;Вознесенский мост;;;Место действия;Достоевский Ф. М.;Родион Раскольников;;"""Преступление и наказание""";1866;;https://p2.citywalls.ru/photo_660-676502.jpg?mt=1724288230;«Хриплый, надорванный голос Катерины Ивановны слышался еще от моста. И действительно, это было странное зрелище, способное заинтересовать уличную публику. Катерина Ивановна в своем стареньком платье, в драдедамовой шали и в изломанной соломенной шляпке, сбившейся безобразным комком на сторону, была действительно в настоящем исступлении… Она бросалась к детям, кричала на них, уговаривала, учила их тут же при народе, как плясать и что петь, начинала им растолковывать, для чего это нужно, приходила в отчаяние от их непонятливости, била их…».;59.926463;30.308164
1;;Красный гранитная плита с текстовой доской.;;Гению места;г. Пушкин, Лицейский пер., 1;;Памятник;Пушкин А. С.;;;;;Вайсман Анатолий Аркадьевич, Гуттовский Юрий Эдуардович;https://avatars.mds.yandex.net/get-altay/19555618/2a0000019ca623dbf25f170ffd5164d522d7/XXXL;;59.717210;30.397518
;1;;"Дом, принадлежащий мещанке Анне Трифоновне Бубновой. Сейчас на его месте расположена станция метро ""Василеостровская""";Дом Бубновой;Средний проспект Васильевского острова, 32;;Место действия;Достоевский Ф. М.;Нелли;;"""Униженные и оскорбленные""";1861;;https://pastvu.com/_p/a/v/n/v/vnvdasx4vttwri7tot.jpg;«...дом, в ворота которого вошла Нелли, был „небольшой, но каменный, старый, двухэтажный, окрашенный грязно-желтою краской. В одном из окон нижнего этажа, которых было всего три, торчал маленький красный гробик, — вывеска незначительного гробовщика“»;59.942835;30.278353
;1;;Богатое жилище респектабельной семьи Епанчиных, куда князь Мышкин направляется сразу по прибытии в Петербург с одним лишь узелком. Где-то здесь жила семья генерала Епанчина. Достоевский не указывает точного адреса, но представить себе героев, прогуливающихся здесь, вполне уместно.;Дом генерала Епанчина;;;Место действия;Достоевский Ф. М.;Князь Мышкин, Иван Епанчин, Лизавета Епачина;;"""Идиот""";1868;;https://avatars.mds.yandex.net/i?id=1edbda3efeb21ac8210ce8ef74ec8c20_l-5088700-images-thumbs&n=13;«Генерал Епанчин жил в собственном своем доме, несколько в стороне от Литейной, к Спасу Преображения. Кроме этого (превосходного) дома, пять шестых которого отдавались в наем, генерал Епанчин имел еще огромный дом на Садовой...»;59.943019;30.352430
;1;;Здесь жила главная героиня произведения Наталья Ихменева вместе с князем Алешей. Наташу любит Иван Петрович. А сама история героини занимает около двух третей романа. Дом сохранился, но был перестроен и сегодня от его изначального облика сегодня мало что осталось.;Дом Наташи Ихменевой;набережная реки Фонтанки, 103;;Место действия;Достоевский Ф. М.;Наташа Ихменева, Иван Петрович;;"""Униженные и оскорбленные""";1861;;https://otvet.imgsmail.ru/download/u_bd0fc047630ccdfe3aded04a70d8dc16_800.jpg;«Я пришел к Наташе уже поздно, в десять часов. Она жила тогда на Фонтанке, у Семеновского моста, в грязном капитальном доме купца Колотушкина, в четвертом этаже»;59.923365;30.320800
;1;;Большой, мрачный наследственный дом купцов Рогожиных. Внешний вид и интерьеры дома полностью отражают тяжелый, темный и страстный внутренний мир самого Парфена. Именно здесь в кабинете висит копия картины Г. Гольбейна «Мертвый Христос в гробу», поразившая Мышкина.;Дом Парфена Рогожина;Гороховая улица, 28;;Место действия;Достоевский Ф. М.;Парфен Рогожин, Лев Мышкин, Настасья Филипповна;;"""Идиот""";1868;;https://avatars.mds.yandex.net/i?id=320c6b2a2d6f264e744decccf7f8a2a6_l-5031604-images-thumbs&n=13;"«Он знал про дом, что он находится в Гороховой, неподалеку от Садовой... Дом этот был большой, мрачный, в три этажа, без всякой архитектуры, цвету грязно-зеленого. <...> Подойдя к воротам и взглянув на надпись, князь прочел: ""Дом потомственного почетного гражданина Рогожина""».
«Твой дом имеет физиономию всего вашего семейства и всей вашей рогожинской жизни...»";59.929957;30.320157
;1;;Родион Романович Раскольников снимал комнату в квартире на последнем этаже четырехэтажного дома, прямо под самой крышей. Писатель сравнивал каморку с гробом или каютой, а по размерам она походила на шкаф. Как в романе, на чердак ведут 13 ступенек. А угловую часть дома с 1999 года украшает горельеф «Дом Раскольникова».;Дом Радиона Раскольникова;Столярный переулок, 5;;Место действия;Достоевский Ф. М.;Родион Раскольников;;"""Преступление и наказание""";1866;;https://petersburg24.ru/files/articles/294_image.jpg?1713272320;«...был замечательно хорош собою, с прекрасными темными глазами, темно-рус, ростом выше среднего, тонок и строен. Весь его вид отображал бедность и нищету»;59.927892;30.310945
